Number,Time,Source,Destination,Protocol,Length,TotalLength,SourcePort,DestinationPort,DestinationMacAddress,SourceMacAddress,,PacketClassification
4302,228.726514,172.64.155.188,192.168.1.93,TCP,54,40,80,50297,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4303,228.897658,192.168.1.93,18.164.66.173,TCP,54,40,50316,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4304,228.907765,18.164.66.173,192.168.1.93,TCP,66,52,80,50316,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4305,231.069872,192.168.1.93,93.184.220.29,TCP,54,40,50365,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4306,231.069873,192.168.1.93,93.184.220.29,TCP,54,40,50364,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4307,231.079019,93.184.220.29,192.168.1.93,TCP,66,52,80,50364,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4308,231.079022,93.184.220.29,192.168.1.93,TCP,66,52,80,50365,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4309,234.073996,192.168.1.93,93.184.220.29,OCSP,496,482,50364,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4310,234.083275,93.184.220.29,192.168.1.93,TCP,66,52,80,50364,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4311,234.083755,93.184.220.29,192.168.1.93,OCSP,864,850,80,50364,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4312,234.085306,192.168.1.93,93.184.220.29,TCP,66,52,50364,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4313,234.106993,192.168.1.93,93.184.220.29,TCP,54,40,50295,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4314,234.116217,93.184.220.29,192.168.1.93,TCP,66,52,80,50295,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4315,234.204995,192.168.1.93,93.184.220.29,OCSP,496,482,50365,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4316,234.21482,93.184.220.29,192.168.1.93,TCP,66,52,80,50365,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4317,234.215358,93.184.220.29,192.168.1.93,OCSP,864,850,80,50365,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4318,234.215412,192.168.1.93,93.184.220.29,TCP,66,52,50365,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4319,234.363843,192.168.1.93,213.123.255.103,TCP,54,40,50314,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4320,234.371993,213.123.255.103,192.168.1.93,TCP,66,52,80,50314,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4321,234.760381,192.168.1.93,213.123.255.103,TCP,54,40,50315,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4322,234.768561,213.123.255.103,192.168.1.93,TCP,66,52,80,50315,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4323,234.870279,192.168.1.93,93.184.220.29,TCP,78,64,50433,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4324,234.870343,192.168.1.93,93.184.220.29,TCP,78,64,50434,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4325,234.879407,93.184.220.29,192.168.1.93,TCP,74,60,80,50433,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4326,234.87947,192.168.1.93,93.184.220.29,TCP,66,52,50433,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4327,234.879853,93.184.220.29,192.168.1.93,TCP,74,60,80,50434,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4328,234.87989,192.168.1.93,93.184.220.29,TCP,66,52,50434,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4329,234.883612,192.168.1.93,93.184.220.29,OCSP,498,484,50434,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
4330,234.883669,192.168.1.93,93.184.220.29,OCSP,498,484,50433,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
